| Suite de Pruebas | Caso de Prueba | Prioridad | Build v2.1.0 | Equipo QA | Fecha | Notas | Duración de la ejecución (min) |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-274: Modificación de la ubicación por parte del usuario auxiliar administrativo | Alta | Pasado | Equipo QA | 2023-11-24 21:24:24 | 2 | |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-275: Modificación de la ubicación por parte del usuario ingeniero biomédico | Alta | Pasado | Equipo QA | 2023-11-24 21:24:34 | 2 | |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-276: Modificación de la ubicación por parte del usuario tecnólogo | Alta | Pasado | Equipo QA | 2023-11-24 21:24:45 | 2 | |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-277: Modificación de la ubicación por parte del usuario técnico | Alta | Pasado | Equipo QA | 2023-11-24 21:24:58 | 2 | |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-278: Modificación del sector | Alta | Pasado | Equipo QA | 2023-11-24 21:25:24 | 2 | |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-279: Modificación de nombre | Alta | Pasado | Equipo QA | 2023-11-24 21:25:32 | 2 | |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-280: Modificación de número | Alta | Pasado | Equipo QA | 2023-11-24 21:25:41 | 2 | |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-281: Modificación de piso | Alta | Pasado | Equipo QA | 2023-11-24 21:25:52 | 2 | |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-282: Modificación de cama | Alta | Pasado | Equipo QA | 2023-11-24 21:26:05 | 2 | |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-283: Modificación de la institución | Alta | Pasado | Equipo QA | 2023-11-24 21:26:29 | 2 | |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-284: Cancelar modificación de ubicación | Alta | Bloqueado | Equipo QA | 2023-11-24 21:27:02 | El sistema no tiene un botón Cancelar en la interfaz de Modificar ubicación. | 1 |
| Módulo Ubicaciones/Baja Ubicación | CP-285: Baja de Ubicación | Alta | Pasado | Equipo QA | 2023-11-24 21:30:03 | 2 | |
| Módulo Ubicaciones/Baja Ubicación | CP-286: Cancelar baja de Ubicación | Alta | Bloqueado | Equipo QA | 2023-11-24 21:30:30 | El sistema no tiene un botón Cancelar en la interfaz de baja de ubicación. | 1 |
| Módulo Ubicaciones/Baja Ubicación | CP-287: Ubicación no disponible | Media | Pasado | Equipo QA | 2023-11-24 21:31:48 | 2 | |
| Módulo Ubicaciones/Baja Ubicación | CP-288: Entradas inválidas para el registro de Baja de Ubicación | Alta | Pasado | Equipo QA | 2023-11-24 21:38:03 | 2 | |
| Módulo Ubicaciones/Baja Ubicación | CP-348: Baja de Ubicación por un usuario administrador | Alta | Pasado | Equipo QA | 2023-11-24 21:28:33 | 2 | |
| Módulo Ubicaciones/Baja Ubicación | CP-349: Baja de Ubicación por un usuario auxiliar administrativo | Alta | Pasado | Equipo QA | 2023-11-24 21:28:21 | 2 | |
| Módulo Ubicaciones/Baja Ubicación | CP-350: Baja de Ubicación por un usuario ingeniero biomédico | Alta | Pasado | Equipo QA | 2023-11-24 21:28:11 | 2 | |
